loan_id,age,education,loan_amount,asset_cost,no_of_loans,no_of_curr_loans,last_delinq_none,loan_id_outlier_flag,age_outlier_flag,education_outlier_flag,loan_amount_outlier_flag,asset_cost_outlier_flag,no_of_loans_outlier_flag,no_of_curr_loans_outlier_flag,loan_to_asset,loan_amount_log,proof_submitted,loan_default
1,27,1.0,504264,820920,2,2,0,0,0,0,0,0,0,0,0.6142669200409296,13.130857202523252,Aadhar,0
2,48,1.0,728556,831444,6,2,0,0,0,0,0,0,0,0,0.8762538427121971,13.498821144521571,Aadhar,0
3,30,2.0,642936,826092,0,0,0,0,0,0,0,0,0,0,0.778286195726384,13.373802020192516,VoterID,1
4,28,1.0,746556,930924,0,0,0,0,0,0,0,0,0,0,0.8019516093687562,13.523227249375925,Aadhar,0
5,29,1.0,1139880,1902000,0,0,0,0,0,0,1,1,0,0,0.5993059936908517,13.946434428957172,Aadhar,0
6,34,2.0,779784,902040,0,0,0,0,0,0,0,0,0,0,0.8644672076626314,13.566773519644164,Aadhar,1
7,27,2.0,449268,847896,0,0,0,0,0,0,0,0,0,0,0.5298621529055451,13.015377096461567,Aadhar,0
8,27,2.0,582036,905604,0,0,0,0,0,0,0,0,0,0,0.6427047583712087,13.274289298576003,Aadhar,1
9,30,1.0,712956,866292,0,0,0,0,0,0,0,0,0,0,0.8229973265365489,13.4771763890224,Aadhar,0
10,46,2.0,554988,761724,3,0,0,0,0,0,0,0,0,0,0.728594609071002,13.226703572712337,Aadhar,1
11,32,2.0,654156,756348,0,0,0,0,0,0,0,0,0,0,0.8648875914261689,13.391102662791345,Aadhar,1
12,30,1.0,639636,840084,3,3,0,0,0,0,0,0,0,0,0.7613952890425243,13.368656106924178,Driving,0
13,30,2.0,615636,929004,0,0,0,0,0,0,0,0,0,0,0.6626839066354935,13.330412783104304,Aadhar,0
14,36,2.0,523464,779244,0,0,0,0,0,0,0,0,0,0,0.6717587815883087,13.16822544936902,Aadhar,0
15,46,2.0,667356,808884,7,3,0,0,0,0,0,0,0,0,0.8250330084412598,13.411080414095807,Aadhar,0
16,25,2.0,532188,722976,0,0,0,0,0,0,0,0,0,0,0.7361074226530341,13.184753968390662,Aadhar,0
17,38,2.0,663108,784920,0,0,0,0,0,0,0,0,0,0,0.8448096621311726,13.404694659878334,Aadhar,0
18,46,1.0,622536,872448,5,3,0,0,0,0,0,0,0,0,0.7135508362676056,13.34155834330565,VoterID,1
19,40,2.0,602916,764868,4,2,0,0,0,0,0,0,0,0,0.7882615039457789,13.30953482112757,Aadhar,0
20,38,2.0,577740,897240,13,4,0,0,0,0,0,0,1,0,0.6439079844857564,13.26688095034329,Aadhar,0
21,34,2.0,588588,857136,0,0,0,0,0,0,0,0,0,0,0.6866914935319482,13.285483426193695,Aadhar,1
22,41,1.0,710556,896244,0,0,0,0,0,0,0,0,0,0,0.7928153493914604,13.473804448494949,Aadhar,1
23,34,1.0,429228,828744,5,4,0,0,0,0,0,0,0,0,0.5179259216356318,12.969745855023662,Aadhar,1
24,44,2.0,615636,818520,2,0,0,0,0,0,0,0,0,0,0.7521331183110981,13.330412783104304,Aadhar,0
25,32,1.0,699108,805092,10,8,0,0,0,0,0,0,1,1,0.8683579019540624,13.457561946111962,Aadhar,0
26,28,1.0,696156,843012,0,0,0,0,0,0,0,0,0,0,0.8257960740772373,13.45333048859105,Aadhar,1
27,47,2.0,701364,924468,0,0,0,0,0,0,0,0,0,0,0.7586676877944937,13.460783715243558,PAN,0
28,33,1.0,904212,1317648,2,0,0,0,0,0,0,1,0,0,0.6862318312629777,13.714820231089433,Aadhar,0
29,33,2.0,627636,841380,0,0,0,0,0,0,0,0,0,0,0.7459602082293375,13.3497172528515,Aadhar,1
30,27,2.0,532188,953868,3,3,0,0,0,0,0,0,0,0,0.5579262539470871,13.184753968390662,Aadhar,1
31,42,1.0,496728,721548,9,6,0,0,0,0,0,0,1,1,0.6884198972209749,13.115799884734349,Aadhar,0
32,26,1.0,873780,1264860,0,0,0,0,0,0,0,1,0,0,0.6908116313267871,13.680585051156863,Aadhar,0
33,44,1.0,606636,939036,12,3,0,0,0,0,0,0,1,0,0.6460199608960678,13.31568586809027,Aadhar,0
34,45,2.0,636936,846984,0,0,0,0,0,0,0,0,0,0,0.7520047604205038,13.364426028564363,VoterID,1
35,27,2.0,588036,1262640,0,0,0,0,0,0,0,1,0,0,0.4657194449724387,13.284545150071127,Aadhar,0
36,28,1.0,739764,1236000,0,0,0,0,0,0,0,1,0,0,0.5985145631067961,13.514087847177526,Aadhar,0
37,29,2.0,742956,1072104,0,0,0,0,0,0,0,0,0,0,0.6929887398983681,13.518393448539292,Aadhar,1
38,34,1.0,698148,884304,0,0,0,0,0,0,0,0,0,0,0.7894886826249796,13.456187826012371,Aadhar,0
39,36,2.0,766584,1290888,2,0,0,0,0,0,0,1,0,0,0.5938423782698422,13.549700864818295,Driving,0
40,41,2.0,966396,1307400,0,0,0,0,0,0,0,1,0,0,0.7391739329967875,13.781330001853233,Aadhar,0
41,33,1.0,830028,1165872,2,2,0,0,0,0,0,0,0,0,0.7119375025731812,13.629215918921437,Aadhar,1
42,38,2.0,560988,707244,3,2,0,0,0,0,0,0,0,0,0.7932029115835553,13.23745657646946,Aadhar,0
43,30,2.0,446868,704136,0,0,0,0,0,0,0,0,0,0,0.6346330822454753,13.010020765766845,Aadhar,0
44,45,1.0,673908,767352,2,0,0,0,0,0,0,0,0,0,0.8782253776624026,13.420850365942325,Aadhar,0
45,34,2.0,750564,859200,5,3,0,0,0,0,0,0,0,0,0.8735614525139664,13.528581535232698,PAN,1
46,37,2.0,520728,843792,2,0,0,0,0,0,0,0,0,0,0.6171283918311622,13.162985031857852,Aadhar,0
47,34,2.0,630636,782496,5,2,0,0,0,0,0,0,0,0,0.8059287204024046,13.354485698650294,Aadhar,0
48,40,1.0,664956,886200,0,0,0,0,0,0,0,0,0,0,0.7503452945159106,13.407477655893201,Aadhar,1
49,37,1.0,577740,832056,0,0,0,0,0,0,0,0,0,0,0.6943523032103608,13.26688095034329,VoterID,0
50,28,1.0,401808,571692,0,0,0,0,0,0,0,0,0,0,0.7028399907642576,12.903732130315696,Aadhar,0
51,31,2.0,544188,674592,2,2,0,0,0,0,0,0,0,0,0.8066920449694037,13.207051891970067,Aadhar,0
52,40,2.0,618636,825084,2,2,0,0,0,0,0,0,0,0,0.7497854763878586,13.335273949924204,Aadhar,0
53,43,1.0,677508,846000,0,0,0,0,0,0,0,0,0,0,0.8008368794326242,13.426178115780601,VoterID,0
54,47,2.0,699108,910260,0,0,0,0,0,0,0,0,0,0,0.7680311119899809,13.457561946111962,Aadhar,0
55,47,2.0,1709916,2195352,2,2,0,0,0,0,1,1,0,0,0.7788801066981513,14.35195538928914,Aadhar,0
56,30,2.0,437868,749100,2,2,0,0,0,0,0,0,0,0,0.58452543051662,12.989675057865227,Aadhar,1
57,42,1.0,801228,955200,3,3,0,0,0,0,0,0,0,0,0.8388065326633166,13.593902077825192,Aadhar,1
58,38,1.0,507360,861876,0,0,0,0,0,0,0,0,0,0,0.5886693677512774,13.136978060757302,Aadhar,1
59,48,1.0,703908,801000,4,2,0,0,0,0,0,0,0,0,0.8787865168539326,13.464404365421572,Aadhar,1
60,38,2.0,648936,825528,0,0,0,0,0,0,0,0,0,0,0.786085995871733,13.383090918555288,Aadhar,0
61,33,2.0,630936,871632,0,0,0,0,0,0,0,0,0,0,0.7238559392037006,13.354961295017459,VoterID,0
62,29,2.0,675108,821412,0,0,0,0,0,0,0,0,0,0,0.8218871893763422,13.422629438299417,Aadhar,1
63,41,1.0,616596,805560,9,7,0,0,0,0,0,0,1,1,0.7654252942052734,13.331970929031497,Aadhar,0
64,45,2.0,445668,888000,2,0,0,0,0,0,0,0,0,0,0.5018783783783783,13.007331803004359,Aadhar,0
65,46,2.0,469668,763800,0,0,0,0,0,0,0,0,0,0,0.6149096622152396,13.059783470262822,Aadhar,0
66,37,2.0,615636,882216,0,0,0,0,0,0,0,0,0,0,0.6978291030767976,13.330412783104304,Aadhar,0
67,32,1.0,668556,850500,2,2,0,0,0,0,0,0,0,0,0.786074074074074,13.412876937409058,Aadhar,1
68,29,2.0,514728,813168,0,0,0,0,0,0,0,0,0,0,0.6329909686559235,13.15139582755468,Aadhar,0
69,44,1.0,624936,814800,2,2,0,0,0,0,0,0,0,0,0.7669808541973491,13.345406123637877,Aadhar,0
70,38,2.0,715188,1247304,0,0,0,0,0,0,0,1,0,0,0.5733870812568548,13.480302122409965,VoterID,1
